split,row_type,bin,stated,realized,n,ece_raw,ece_recal
warm_holdout,decile,"(0.169, 0.661]",0.5871454212258294,0.5036001694197374,2361,,
warm_holdout,decile,"(0.661, 0.712]",0.6891246389383479,0.6453660600931019,2363,,
warm_holdout,decile,"(0.712, 0.741]",0.7273938613684222,0.7018212621770437,2361,,
warm_holdout,decile,"(0.741, 0.765]",0.753196397654783,0.7699490662139219,2356,,
warm_holdout,decile,"(0.765, 0.785]",0.7751295068467435,0.7966963151207116,2361,,
warm_holdout,decile,"(0.785, 0.801]",0.7931674055563125,0.8152542372881356,2360,,
warm_holdout,decile,"(0.801, 0.82]",0.8105507526320781,0.8461864406779661,2360,,
warm_holdout,decile,"(0.82, 0.841]",0.8295600298619763,0.8991952562473529,2361,,
warm_holdout,decile,"(0.841, 0.867]",0.85291409517228,0.9093220338983051,2360,,
warm_holdout,decile,"(0.867, 0.992]",0.895441962743471,0.9394067796610169,2360,,
validation,decile,"(0.191, 0.591]",0.4984983734680262,0.30434782608695654,667,,
validation,decile,"(0.591, 0.661]",0.6299003409936004,0.4595808383233533,668,,
validation,decile,"(0.661, 0.71]",0.6867602843964671,0.5082706766917293,665,,
validation,decile,"(0.71, 0.744]",0.7276071666986251,0.5889387144992526,669,,
validation,decile,"(0.744, 0.776]",0.759844019342665,0.5969924812030075,665,,
validation,decile,"(0.776, 0.8]",0.7902718015371454,0.697054698457223,713,,
validation,decile,"(0.8, 0.823]",0.8126961203884459,0.7354838709677419,620,,
validation,decile,"(0.823, 0.85]",0.8369568927857018,0.7970588235294118,680,,
validation,decile,"(0.85, 0.887]",0.8679458825217011,0.8039816232771823,653,,
validation,decile,"(0.887, 0.997]",0.9191723013366462,0.9055472263868066,667,,
test,decile,"(0.168, 0.622]",0.5357180127821365,0.3434343434343434,1188,,
test,decile,"(0.622, 0.684]",0.6556181673085599,0.45197255574614065,1166,,
test,decile,"(0.684, 0.723]",0.7055858900334641,0.5280135823429541,1178,,
test,decile,"(0.723, 0.753]",0.738213890314388,0.5835432409739715,1191,,
test,decile,"(0.753, 0.782]",0.7682700161665205,0.6652542372881356,1180,,
test,decile,"(0.782, 0.8]",0.7923347153070486,0.7063903281519862,1158,,
test,decile,"(0.8, 0.814]",0.8066427480583116,0.7301324503311258,1208,,
test,decile,"(0.814, 0.836]",0.8249305049092113,0.7449781659388647,1145,,
test,decile,"(0.836, 0.87]",0.851162391334396,0.8186440677966101,1180,,
test,decile,"(0.87, 0.991]",0.9035163518641013,0.8773424190800682,1174,,
warm_holdout,ece,full split,,,23603,0.0418985259910441,
validation,ece,full split,,,6667,0.11329766940214694,
test,ece,full split,,,11768,0.11330970514372889,
"warm holdout, eval half (warm-fit map)",ece_recalibrated,slice,,,11873,0.04131988837981925,0.009091225973781501
validation cold (warm-fit map),ece_recalibrated,slice,,,6667,0.11329766940214694,0.10946867381814696
test cold (validation-fit map),ece_recalibrated,slice,,,11768,0.11330970514372889,0.012239489378269396
