track,split,model,metric,value,n
stars,warm_holdout,SVD,RMSE,0.6936395895782143,23603
stars,warm_holdout,SVD,MAE,0.43930064222044135,23603
stars,warm_holdout,bias only (BaselineOnly),RMSE,0.6958376183888991,23603
stars,warm_holdout,bias only (BaselineOnly),MAE,0.44338111620364085,23603
stars,warm_holdout,hybrid w* (1+4p),RMSE,0.7112715995788244,23603
stars,warm_holdout,hybrid w* (1+4p),MAE,0.5364864883381449,23603
stars,warm_holdout,hybrid 0.7/0.3 ref (1+4p),RMSE,0.7112715995788244,23603
stars,warm_holdout,hybrid 0.7/0.3 ref (1+4p),MAE,0.5364864883381449,23603
stars,warm_holdout,Bayesian alone (1+4p),RMSE,0.9293559709290701,23603
stars,warm_holdout,Bayesian alone (1+4p),MAE,0.812448418540706,23603
stars,warm_holdout,"global mean (refit, leak-free)",RMSE,0.727326705476237,23603
stars,warm_holdout,"global mean (refit, leak-free)",MAE,0.4990150260498281,23603
stars,warm_holdout,"user mean (refit, leak-free)",RMSE,0.7899335583744072,23603
stars,warm_holdout,"user mean (refit, leak-free)",MAE,0.4420332221361507,23603
stars,warm_holdout_temporal,SVD,RMSE,0.6922718603335999,23597
stars,warm_holdout_temporal,SVD,MAE,0.4305599649710923,23597
stars,warm_holdout_temporal,bias only (BaselineOnly),RMSE,0.6945437189066116,23597
stars,warm_holdout_temporal,bias only (BaselineOnly),MAE,0.43398882358380275,23597
stars,warm_holdout_temporal,hybrid w* (1+4p),RMSE,0.7191395140983267,23597
stars,warm_holdout_temporal,hybrid w* (1+4p),MAE,0.5388231092846861,23597
stars,warm_holdout_temporal,hybrid 0.7/0.3 ref (1+4p),RMSE,0.7191395140983267,23597
stars,warm_holdout_temporal,hybrid 0.7/0.3 ref (1+4p),MAE,0.5388231092846861,23597
stars,warm_holdout_temporal,Bayesian alone (1+4p),RMSE,0.953711424340271,23597
stars,warm_holdout_temporal,Bayesian alone (1+4p),MAE,0.8340896902268421,23597
stars,warm_holdout_temporal,"global mean (refit, leak-free)",RMSE,0.7230855561422764,23597
stars,warm_holdout_temporal,"global mean (refit, leak-free)",MAE,0.4876393706800227,23597
stars,warm_holdout_temporal,"user mean (refit, leak-free)",RMSE,0.7914099056071182,23597
stars,warm_holdout_temporal,"user mean (refit, leak-free)",MAE,0.4384813057908617,23597
stars,validation,SVD,RMSE,0.8657772845199442,6667
stars,validation,SVD,MAE,0.5793291414751898,6667
stars,validation,bias only (BaselineOnly),RMSE,0.8722076784725716,6667
stars,validation,bias only (BaselineOnly),MAE,0.5889900714388926,6667
stars,validation,hybrid w* (1+4p),RMSE,0.8377311524677912,6667
stars,validation,hybrid w* (1+4p),MAE,0.6116149679547984,6667
stars,validation,hybrid 0.7/0.3 ref (1+4p),RMSE,0.8377311524677912,6667
stars,validation,hybrid 0.7/0.3 ref (1+4p),MAE,0.6116149679547984,6667
stars,validation,Bayesian alone (1+4p),RMSE,0.9775083874044538,6667
stars,validation,Bayesian alone (1+4p),MAE,0.8034694006945372,6667
stars,validation,"global mean (refit, leak-free)",RMSE,0.9124798666660089,6667
stars,validation,"global mean (refit, leak-free)",MAE,0.6282178239433348,6667
stars,validation,"user mean (refit, leak-free)",RMSE,0.869623991479805,6667
stars,validation,"user mean (refit, leak-free)",MAE,0.5449759579474585,6667
stars,test,SVD,RMSE,0.8858466388462846,11768
stars,test,SVD,MAE,0.5915620272410911,11768
stars,test,bias only (BaselineOnly),RMSE,0.8911970542490014,11768
stars,test,bias only (BaselineOnly),MAE,0.6005695594581067,11768
stars,test,hybrid w* (1+4p),RMSE,0.8553510538211215,11768
stars,test,hybrid w* (1+4p),MAE,0.6275777260136124,11768
stars,test,hybrid 0.7/0.3 ref (1+4p),RMSE,0.8553510538211215,11768
stars,test,hybrid 0.7/0.3 ref (1+4p),MAE,0.6275777260136124,11768
stars,test,Bayesian alone (1+4p),RMSE,0.9713438779801988,11768
stars,test,Bayesian alone (1+4p),MAE,0.8035876429404536,11768
stars,test,"global mean (refit, leak-free)",RMSE,0.9228495438283284,11768
stars,test,"global mean (refit, leak-free)",MAE,0.6312571698394002,11768
