model,hr_at_10,ndcg_at_10,hr_lo95,hr_hi95,ndcg_lo95,ndcg_hi95,n_users,protocol
svd,0.335,0.18043466833032584,0.3183308426820565,0.35209117739730106,0.1700175427708128,0.1908517938898389,3000,"warm, positives=rating5, 1+99"
bias_only,0.41333333333333333,0.2545873299083272,0.39583397408710713,0.43105435969194933,0.2420398065311045,0.26713485328555,3000,"warm, positives=rating5, 1+99"
bayes,0.3556666666666667,0.2540808322880229,0.33873093371819235,0.3729715606138518,0.24043954067980688,0.26772212389623895,3000,"warm, positives=rating5, 1+99"
hybrid_wstar (w=0.70),0.36566666666666664,0.23194194051216718,0.34861451313190883,0.38306240422562865,0.2194653973365691,0.24441848368776525,3000,"warm, positives=rating5, 1+99"
hybrid_unc,0.3473333333333333,0.21161805915629373,0.33050082796320207,0.3645563138475974,0.19975959206994162,0.22347652624264583,3000,"warm, positives=rating5, 1+99"
quality_only,0.401,0.2575864759016475,0.3835996492411871,0.41865356280642746,0.24466420586450022,0.2705087459387948,3000,"warm, positives=rating5, 1+99"
popularity,0.7023333333333334,0.5073346605077356,0.6857214566326362,0.718427702583182,0.492838993719105,0.5218303272963661,3000,"warm, positives=rating5, 1+99"
pop_blend (lambda=2),0.6925,0.5006758412222716,0.6719230634767615,0.712338873319956,0.4828285625406515,0.5185231199038918,2000,"warm, positives=rating5, 1+99; eval users 1001-3000 (lambda tuned on users 1-1000)"
hybrid_wstar (w=0.70) [eval subset],0.359,0.22274499127571426,0.33826501701336736,0.3802755903199459,0.20780480129365056,0.23768518125777796,2000,"warm, positives=rating5, 1+99; eval users 1001-3000 (lambda tuned on users 1-1000)"
popularity [eval subset],0.6965,0.5021926476325992,0.6759891944640054,0.7162574059544621,0.4844114809487239,0.5199738143164745,2000,"warm, positives=rating5, 1+99; eval users 1001-3000 (lambda tuned on users 1-1000)"
bayes [eval subset],0.349,0.24771071713384704,0.32841760262465747,0.3701613456542808,0.23118175089741747,0.2642396833702766,2000,"warm, positives=rating5, 1+99; eval users 1001-3000 (lambda tuned on users 1-1000)"
svd [eval subset],0.3265,0.17249878032710123,0.30629812422609665,0.3473670911804981,0.16003681232789452,0.18496074832630793,2000,"warm, positives=rating5, 1+99; eval users 1001-3000 (lambda tuned on users 1-1000)"
bayes_cold_content,0.0975,0.043879258107858504,0.08526070981102837,0.11128251325038024,0.03732976561670782,0.05042875059900919,2000,"cold, positives=validation rating5, 1+99 cold-item negatives (val/test pool)"
random_cold,0.0995,0.044034497882281115,0.08713931829845581,0.1133962365738278,0.0376459538670564,0.05042304189750583,2000,"cold, positives=validation rating5, 1+99 cold-item negatives (val/test pool)"
